Date,Open,High,Low,Close,Adj Close,Volume
1989-11-01,7.055555,7.111111,7.018518,7.092593,1.539866,680400
1989-11-02,7.055555,7.111111,6.944445,7.000000,1.519764,558000
1989-11-03,6.962963,7.055555,6.944445,7.000000,1.519764,328000
1989-11-06,6.981482,7.000000,6.888889,6.944445,1.507703,284800
1989-11-07,6.925926,6.962963,6.814815,6.962963,1.511723,394600
1989-11-08,6.962963,7.000000,6.944445,6.944445,1.507703,860400
1989-11-09,6.944445,6.981482,6.851852,6.981482,1.515744,440500
1989-11-10,7.000000,7.018518,6.981482,7.000000,1.519764,519700
1989-11-13,7.000000,7.037037,7.000000,7.037037,1.527805,496800
1989-11-14,7.074074,7.092593,7.000000,7.018518,1.523785,1033200
1989-11-15,7.037037,7.259259,7.037037,7.259259,1.576051,602100
1989-11-16,7.259259,7.407407,7.259259,7.407407,1.608216,437800
1989-11-17,7.407407,7.555555,7.370370,7.500000,1.628318,914400
1989-11-20,7.592593,7.740741,7.592593,7.703704,1.672545,298800
1989-11-21,7.685185,7.722222,7.666667,7.722222,1.676566,386500
1989-11-22,7.685185,7.796296,7.685185,7.796296,1.692647,530500
1989-11-24,7.814815,7.907407,7.814815,7.907407,1.716770,274500
1989-11-27,7.888889,7.907407,7.870370,7.888889,1.712749,175900
1989-11-28,7.888889,7.962963,7.851852,7.944445,1.724811,504900
1989-11-29,7.925926,7.944445,7.888889,7.925926,1.720790,277200
1989-11-30,7.944445,7.944445,7.870370,7.888889,1.712749,477000
1989-12-01,7.925926,8.203704,7.907407,8.203704,1.781098,267700
1989-12-04,8.166667,8.333333,8.166667,8.314815,1.805222,518800
1989-12-05,8.277778,8.388889,8.240741,8.277778,1.797182,637200
1989-12-06,8.259259,8.351851,8.259259,8.351851,1.813264,234000
1989-12-07,8.333333,8.407408,8.296296,8.296296,1.801202,220500
1989-12-08,8.296296,8.351851,8.296296,8.333333,1.809243,161100
1989-12-11,8.351851,8.407408,8.314815,8.407408,1.825325,390100
1989-12-12,8.407408,8.518518,8.388889,8.518518,1.849448,217300
1989-12-13,8.481482,8.703704,8.481482,8.574074,1.861509,776200
1989-12-14,8.537037,8.629630,8.370370,8.407408,1.825325,615600
1989-12-15,8.407408,8.407408,8.129630,8.222222,1.785120,724900
1989-12-18,8.259259,8.314815,7.814815,7.870370,1.708729,216400
1989-12-19,7.851852,7.888889,7.592593,7.740741,1.680586,407700
1989-12-20,7.740741,7.814815,7.685185,7.740741,1.680586,452700
1989-12-21,7.703704,7.814815,7.685185,7.814815,1.696668,2220700
1989-12-22,7.796296,7.870370,7.796296,7.851852,1.704709,367600
1989-12-26,7.851852,7.851852,7.777778,7.814815,1.696668,224100
1989-12-27,7.777778,7.981482,7.740741,7.981482,1.732852,292900
1989-12-28,8.000000,8.055555,7.962963,8.018518,1.740894,275800
1989-12-29,8.055555,8.259259,8.055555,8.259259,1.793161,246100
1990-01-02,8.296296,8.481482,8.259259,8.481482,1.841407,456700
1990-01-03,8.481482,8.500000,8.388889,8.388889,1.821305,504000
1990-01-04,8.296296,8.388889,8.296296,8.388889,1.873474,301000
1990-01-05,8.351851,8.351851,8.166667,8.185185,1.827981,199800
1990-01-08,8.148149,8.148149,8.055555,8.129630,1.815575,278500
1990-01-09,8.129630,8.129630,7.981482,8.018518,1.790760,209200
1990-01-10,8.055555,8.055555,7.722222,7.759259,1.732860,256900
1990-01-11,7.814815,7.851852,7.703704,7.740741,1.728724,317700
1990-01-12,7.666667,7.722222,7.629630,7.666667,1.712180,374400
1990-01-15,7.666667,7.703704,7.555555,7.592593,1.695638,269100
1990-01-16,7.555555,7.629630,7.500000,7.629630,1.703910,288000
1990-01-17,7.666667,7.722222,7.555555,7.592593,1.695638,281200
1990-01-18,7.555555,7.703704,7.555555,7.703704,1.720453,229900
1990-01-19,7.740741,7.814815,7.685185,7.703704,1.720453,405400
1990-01-22,7.685185,7.722222,7.555555,7.555555,1.687367,166500
1990-01-23,7.555555,7.592593,7.481482,7.518518,1.679095,547200
1990-01-24,7.407407,7.518518,7.296296,7.500000,1.674960,508900
1990-01-25,7.537037,7.592593,7.296296,7.370370,1.646010,562900
1990-01-26,7.407407,7.462963,7.314815,7.425926,1.658417,1070500
1990-01-29,7.425926,7.425926,7.185185,7.259259,1.621195,946800
1990-01-30,7.277778,7.296296,6.962963,7.129630,1.592246,298800
1990-01-31,7.074074,7.444445,7.074074,7.370370,1.646010,432400
1990-02-01,7.351852,7.351852,7.296296,7.296296,1.629466,405000
1990-02-02,7.259259,7.277778,7.166667,7.240741,1.617061,197100
1990-02-05,7.259259,7.259259,7.166667,7.166667,1.600517,541300
1990-02-06,7.148148,7.185185,7.111111,7.148148,1.596381,337500
1990-02-07,7.129630,7.259259,7.074074,7.259259,1.621195,1011600
1990-02-08,7.296296,7.296296,7.185185,7.240741,1.617061,564300
1990-02-09,7.240741,7.240741,7.148148,7.166667,1.600517,214600
1990-02-12,7.166667,7.185185,6.962963,7.018518,1.567433,998100
1990-02-13,6.981482,7.000000,6.888889,6.888889,1.538481,558900
1990-02-14,6.907407,6.907407,6.666667,6.814815,1.521939,1377000
1990-02-15,6.777778,7.000000,6.740741,6.944445,1.550890,941400
1990-02-16,6.962963,7.111111,6.962963,7.055555,1.575704,481900
1990-02-20,6.981482,7.000000,6.888889,6.907407,1.542618,209200
1990-02-21,6.870370,6.962963,6.851852,6.962963,1.555025,110700
1990-02-22,6.925926,7.037037,6.833333,6.925926,1.546753,485100
1990-02-23,6.907407,6.981482,6.888889,6.907407,1.542618,105700
1990-02-26,6.907407,7.018518,6.888889,6.962963,1.555025,168700
1990-02-27,6.981482,7.203704,6.981482,7.185185,1.604653,437800
1990-02-28,7.203704,7.240741,7.185185,7.203704,1.608789,511600
1990-03-01,7.185185,7.296296,7.185185,7.277778,1.625331,305100
1990-03-02,7.314815,7.388889,7.277778,7.388889,1.650146,141700
1990-03-05,7.388889,7.407407,7.314815,7.314815,1.633602,253800
1990-03-06,7.351852,7.370370,7.296296,7.370370,1.646010,151600
1990-03-07,7.351852,7.370370,7.259259,7.277778,1.625331,310900
1990-03-08,7.314815,7.314815,7.259259,7.296296,1.629466,90900
1990-03-09,7.259259,7.555555,7.259259,7.388889,1.650146,1003000
1990-03-12,7.351852,7.407407,7.333333,7.388889,1.650146,166000
1990-03-13,7.370370,7.388889,7.259259,7.277778,1.625331,217300
1990-03-14,7.314815,7.314815,7.277778,7.314815,1.633602,182200
1990-03-15,7.314815,7.370370,7.314815,7.351852,1.641874,338800
1990-03-16,7.444445,7.462963,7.407407,7.462963,1.666689,1150600
1990-03-19,7.425926,7.425926,7.351852,7.370370,1.646010,481000
1990-03-20,7.370370,7.370370,7.314815,7.351852,1.641874,605200
1990-03-21,7.333333,7.333333,7.277778,7.296296,1.629466,389200
1990-03-22,7.259259,7.259259,7.148148,7.148148,1.596381,430600
1990-03-23,7.166667,7.166667,7.074074,7.092593,1.583974,156600
1990-03-26,7.111111,7.129630,7.055555,7.055555,1.575704,189000
1990-03-27,7.037037,7.111111,7.018518,7.111111,1.588110,222700
1990-03-28,7.037037,7.222222,6.814815,6.888889,1.538481,3758800
1990-03-29,6.814815,6.814815,6.666667,6.740741,1.505396,2115400
1990-03-30,6.703704,6.740741,6.574074,6.703704,1.497125,1237000
1990-04-02,6.777778,6.851852,6.666667,6.740741,1.505396,588600
1990-04-03,6.703704,6.759259,6.685185,6.740741,1.505396,634900
1990-04-04,6.648148,6.814815,6.629630,6.796296,1.572291,973800
1990-04-05,6.796296,6.981482,6.796296,6.925926,1.602280,952200
1990-04-06,6.962963,6.962963,6.814815,6.888889,1.593711,298300
1990-04-09,6.888889,6.907407,6.851852,6.888889,1.593711,494500
1990-04-10,6.925926,6.925926,6.833333,6.870370,1.589428,828900
1990-04-11,6.907407,6.907407,6.796296,6.851852,1.585144,1078600
1990-04-12,6.888889,6.907407,6.814815,6.870370,1.589428,607900
1990-04-16,6.870370,6.944445,6.833333,6.833333,1.580859,471600
1990-04-17,6.814815,6.814815,6.759259,6.777778,1.568007,403600
1990-04-18,6.814815,6.814815,6.777778,6.777778,1.568007,324400
1990-04-19,6.777778,6.870370,6.777778,6.833333,1.580859,267300
1990-04-20,6.814815,6.833333,6.759259,6.814815,1.576575,450000
1990-04-23,6.796296,6.814815,6.740741,6.759259,1.563722,1057500
1990-04-24,6.759259,6.796296,6.703704,6.703704,1.550870,607900
1990-04-25,6.740741,6.740741,6.629630,6.685185,1.546585,238000
1990-04-26,6.685185,6.703704,6.592593,6.592593,1.525165,215100
1990-04-27,6.629630,6.629630,6.407407,6.425926,1.486607,277200
1990-04-30,6.388889,6.462963,6.333333,6.462963,1.495176,736200
1990-05-01,6.500000,6.500000,6.425926,6.462963,1.495176,233500
1990-05-02,6.444445,6.629630,6.444445,6.555555,1.516597,560700
1990-05-03,6.592593,6.629630,6.518518,6.537037,1.512313,620100
1990-05-04,6.555555,6.629630,6.481482,6.629630,1.533733,230800
1990-05-07,6.629630,6.740741,6.611111,6.740741,1.559438,346900
1990-05-08,6.740741,6.796296,6.722222,6.777778,1.568007,265900
1990-05-09,6.814815,6.907407,6.777778,6.888889,1.593711,275800
1990-05-10,6.851852,6.962963,6.814815,6.814815,1.576575,125500
1990-05-11,6.777778,7.000000,6.777778,6.962963,1.610848,294700
1990-05-14,6.962963,7.000000,6.925926,6.944445,1.606565,1451700
