Date,Value
01/03/2020,23.32
01/02/2020,23.42
01/01/2020,31.03
01/12/2019,31.23
01/11/2019,30.49
01/10/2019,29.91
01/09/2019,28.84
01/08/2019,29.23
01/07/2019,28.71
01/06/2019,29.99
01/05/2019,29.28
01/04/2019,29.24
01/03/2019,30.13
01/02/2019,29.58
01/01/2019,29.54
01/12/2018,28.38
01/11/2018,28.29
01/10/2018,30.2
01/09/2018,31.04
01/08/2018,32.62
01/07/2018,32.39
01/06/2018,31.89
01/05/2018,31.63
01/04/2018,31.24
01/03/2018,30.97
01/02/2018,31.81
01/01/2018,32.04
01/12/2017,33.31
01/11/2017,32.09
01/10/2017,31.3
01/09/2017,30.92
01/08/2017,30.17
01/07/2017,29.91
01/06/2017,30
01/05/2017,29.75
01/04/2017,29.31
01/03/2017,28.9
01/02/2017,29.09
01/01/2017,28.66
01/12/2016,28.06
01/11/2016,27.87
01/10/2016,26.85
01/09/2016,26.53
01/08/2016,26.73
01/07/2016,26.95
01/06/2016,26.69
01/05/2016,25.84
01/04/2016,25.69
01/03/2016,25.92
01/02/2016,25.37
01/01/2016,24
01/12/2015,24.21
01/11/2015,25.97
01/10/2015,26.23
01/09/2015,25.49
01/08/2015,24.5
01/07/2015,25.69
01/06/2015,26.38
01/05/2015,26.5
01/04/2015,26.81
01/03/2015,26.79
01/02/2015,26.73
01/01/2015,27
01/12/2014,26.49
01/11/2014,26.79
01/10/2014,26.61
01/09/2014,25.16
01/08/2014,25.92
01/07/2014,25.62
01/06/2014,25.82
01/05/2014,25.56
01/04/2014,24.94
01/03/2014,24.79
01/02/2014,24.96
01/01/2014,24.59
01/12/2013,24.86
01/11/2013,24.86
01/10/2013,24.64
01/09/2013,23.83
01/08/2013,23.44
01/07/2013,23.36
01/06/2013,23.49
01/05/2013,22.93
01/04/2013,23.41
01/03/2013,22.6
01/02/2013,22.42
01/01/2013,22.05
01/12/2012,21.9
01/11/2012,21.24
01/10/2012,20.9
01/09/2012,21.58
01/08/2012,21.78
01/07/2012,21.41
01/06/2012,21
01/05/2012,20.55
01/04/2012,20.94
01/03/2012,21.78
01/02/2012,22.05
01/01/2012,21.8
01/12/2011,21.21
01/11/2011,20.52
01/10/2011,20.35
01/09/2011,20.16
01/08/2011,19.7
01/07/2011,20.05
01/06/2011,22.61
01/05/2011,22.1
01/04/2011,23.06
01/03/2011,23.14
01/02/2011,22.9
01/01/2011,23.49
01/12/2010,22.98
01/11/2010,22.4
01/10/2010,21.7
01/09/2010,21.24
01/08/2010,20.38
01/07/2010,19.77
01/06/2010,19.67
01/05/2010,19.74
01/04/2010,20.48
01/03/2010,21.8
01/02/2010,21
01/01/2010,19.92
01/12/2009,20.53
01/11/2009,20.32
01/10/2009,19.81
01/09/2009,19.36
01/08/2009,18.83
01/07/2009,18.09
01/06/2009,16.69
01/05/2009,16.38
01/04/2009,16
01/03/2009,14.98
01/02/2009,13.32
01/01/2009,14.12
01/12/2008,15.17
01/11/2008,15.38
01/10/2008,15.26
01/09/2008,16.39
01/08/2008,20.36
01/07/2008,21.4
01/06/2008,20.91
01/05/2008,22.42
01/04/2008,23.7
01/03/2008,23.36
01/02/2008,22.61
01/01/2008,23.5
01/12/2007,24.02
01/11/2007,25.96
01/10/2007,25.73
01/09/2007,27.32
01/08/2007,26.73
01/07/2007,26.15
01/06/2007,27.41
01/05/2007,27.42
01/04/2007,27.55
01/03/2007,26.98
01/02/2007,26.23
01/01/2007,27.32
01/12/2006,27.21
01/11/2006,27.28
01/10/2006,26.93
01/09/2006,26.54
01/08/2006,25.64
01/07/2006,25.05
01/06/2006,24.7
01/05/2006,24.75
01/04/2006,25.65
01/03/2006,26.15
01/02/2006,26.33
01/01/2006,26.25
01/12/2005,26.47
01/11/2005,26.44
01/10/2005,25.93
01/09/2005,24.88
01/08/2005,25.73
01/07/2005,26.1
01/06/2005,26.29
01/05/2005,26.07
01/04/2005,25.65
01/03/2005,25.41
01/02/2005,26.34
01/01/2005,26.74
01/12/2004,26.59
01/11/2004,27.14
01/10/2004,26.47
01/09/2004,25.41
01/08/2004,25.67
01/07/2004,25.17
01/06/2004,25.7
01/05/2004,26.4
01/04/2004,25.9
01/03/2004,26.9
01/02/2004,26.89
01/01/2004,27.65
01/12/2003,27.66
01/11/2003,26.64
01/10/2003,25.95
01/09/2003,25.68
01/08/2003,25.24
01/07/2003,24.64
01/06/2003,24.87
01/05/2003,24.83
01/04/2003,23.59
01/03/2003,22.43
01/02/2003,21.31
01/01/2003,21.21
01/12/2002,22.9
01/11/2002,23.1
01/10/2002,23.35
01/09/2002,21.96
01/08/2002,22.36
01/07/2002,23.59
01/06/2002,23.46
01/05/2002,26.39
01/04/2002,28.13
01/03/2002,29.01
01/02/2002,30.29
01/01/2002,29.09
01/12/2001,30.28
01/11/2001,30.5
01/10/2001,30.01
01/09/2001,28.58
01/08/2001,27.67
01/07/2001,31.4
01/06/2001,32.16
01/05/2001,33.07
01/04/2001,34.07
01/03/2001,32.17
01/02/2001,32.32
01/01/2001,35.83
01/12/2000,36.98
01/11/2000,37.27
01/10/2000,38.78
01/09/2000,39.37
01/08/2000,41.89
01/07/2000,42.87
01/06/2000,42.75
01/05/2000,42.78
01/04/2000,41.96
01/03/2000,43.53
01/02/2000,43.22
01/01/2000,42.18
01/12/1999,43.77
01/11/1999,44.19
01/10/1999,43.21
01/09/1999,40.55
01/08/1999,41.32
01/07/1999,41.93
01/06/1999,43.83
01/05/1999,42.18
01/04/1999,42.55
01/03/1999,42.7
01/02/1999,41.35
01/01/1999,40.4
01/12/1998,40.57
01/11/1998,38.82
01/10/1998,37.37
01/09/1998,33.77
01/08/1998,33.53
01/07/1998,35.42
01/06/1998,38.26
01/05/1998,36.8
01/04/1998,36.95
01/03/1998,37.27
01/02/1998,36.29
01/01/1998,34.71
01/12/1997,32.86
01/11/1997,33.03
01/10/1997,32.33
01/09/1997,32.9
01/08/1997,32.66
