Date,Value
29/02/2020,59.58
31/01/2020,59.13
31/12/2019,58.85
30/11/2019,58.63
31/10/2019,58.23
30/09/2019,57.86
31/08/2019,57.65
31/07/2019,57.31
30/06/2019,56.92
31/05/2019,56.63
30/04/2019,56.26
31/03/2019,55.99
28/02/2019,55.9
31/01/2019,55.81
31/12/2018,55.64
30/11/2018,55.34
31/10/2018,54.68
30/09/2018,54.02
31/08/2018,53.63
31/07/2018,53.23
30/06/2018,52.8
31/05/2018,52.34
30/04/2018,52.09
31/03/2018,51.97
28/02/2018,51.83
31/01/2018,51.58
31/12/2017,51.44
30/11/2017,51.34
31/10/2017,51.05
30/09/2017,50.78
31/08/2017,50.49
31/07/2017,50.42
30/06/2017,50.23
31/05/2017,49.86
30/04/2017,49.61
31/03/2017,49.36
28/02/2017,49.21
31/01/2017,49.01
31/12/2016,48.92
30/11/2016,48.97
31/10/2016,48.74
30/09/2016,48.42
31/08/2016,48.24
31/07/2016,48.16
30/06/2016,48
31/05/2016,47.72
30/04/2016,47.66
31/03/2016,47.65
29/02/2016,47.66
31/01/2016,47.69
31/12/2015,47.55
30/11/2015,47.45
31/10/2015,46.97
30/09/2015,46.55
31/08/2015,46.21
31/07/2015,45.86
30/06/2015,45.52
31/05/2015,45.25
30/04/2015,45.07
31/03/2015,44.96
28/02/2015,44.71
31/01/2015,44.47
31/12/2014,44.16
30/11/2014,43.45
31/10/2014,42.86
30/09/2014,42.28
31/08/2014,41.83
31/07/2014,41.46
30/06/2014,40.99
31/05/2014,40.57
30/04/2014,40.23
31/03/2014,39.95
28/02/2014,39.66
31/01/2014,39.46
31/12/2013,39.15
30/11/2013,38.84
31/10/2013,38.62
30/09/2013,38.32
31/08/2013,38.01
31/07/2013,37.63
30/06/2013,37.26
31/05/2013,36.85
30/04/2013,36.51
31/03/2013,36.15
28/02/2013,35.69
31/01/2013,35.46
31/12/2012,35.42
30/11/2012,35.2
31/10/2012,34.49
30/09/2012,33.71
31/08/2012,33.08
31/07/2012,32.75
30/06/2012,32.45
31/05/2012,31.92
30/04/2012,31.51
31/03/2012,31.11
29/02/2012,30.85
31/01/2012,30.73
31/12/2011,30.51
30/11/2011,30.29
31/10/2011,29.74
30/09/2011,29.24
31/08/2011,28.71
31/07/2011,28.43
30/06/2011,28.19
31/05/2011,27.89
30/04/2011,27.52
31/03/2011,27.3
28/02/2011,27.12
31/01/2011,27.11
31/12/2010,26.97
30/11/2010,26.83
31/10/2010,26.72
30/09/2010,26.59
31/08/2010,26.47
31/07/2010,26.36
30/06/2010,26.27
31/05/2010,26.15
30/04/2010,26.08
31/03/2010,26.04
28/02/2010,26.04
31/01/2010,26.34
31/12/2009,26.55
30/11/2009,26.84
31/10/2009,27.39
30/09/2009,28
31/08/2009,28.63
31/07/2009,29.32
30/06/2009,30.07
31/05/2009,30.69
30/04/2009,31.63
31/03/2009,32.39
28/02/2009,33.15
31/01/2009,33.69
31/12/2008,34.32
30/11/2008,34.93
31/10/2008,34.76
30/09/2008,34.28
31/08/2008,34.12
31/07/2008,34.01
30/06/2008,33.82
31/05/2008,33.94
30/04/2008,34.12
31/03/2008,34.24
29/02/2008,34.29
31/01/2008,34.35
31/12/2007,34.22
30/11/2007,34.15
31/10/2007,33.82
30/09/2007,33.71
31/08/2007,33.47
31/07/2007,33.23
30/06/2007,32.83
31/05/2007,32.49
30/04/2007,32.27
31/03/2007,32.19
28/02/2007,32.11
31/01/2007,32.15
31/12/2006,32.06
30/11/2006,31.9
31/10/2006,31.61
30/09/2006,31.22
31/08/2006,30.72
31/07/2006,30.29
30/06/2006,30.07
31/05/2006,29.88
30/04/2006,29.66
31/03/2006,29.53
28/02/2006,29.5
31/01/2006,29.41
31/12/2005,29.23
30/11/2005,29.2
31/10/2005,28.76
30/09/2005,28.2
31/08/2005,27.94
31/07/2005,28.04
30/06/2005,27.94
31/05/2005,27.83
30/04/2005,27.53
31/03/2005,27.19
28/02/2005,27.07
31/01/2005,26.93
31/12/2004,26.73
30/11/2004,26.43
31/10/2004,26.21
30/09/2004,26.09
31/08/2004,26.1
31/07/2004,25.9
30/06/2004,25.66
31/05/2004,25.37
30/04/2004,25.18
31/03/2004,25.07
29/02/2004,24.88
31/01/2004,24.74
31/12/2003,24.58
30/11/2003,24.4
31/10/2003,24
30/09/2003,23.56
31/08/2003,23.17
31/07/2003,23.05
30/06/2003,22.94
31/05/2003,22.76
30/04/2003,22.82
31/03/2003,22.81
28/02/2003,22.78
31/01/2003,22.85
31/12/2002,22.96
30/11/2002,22.99
31/10/2002,22.8
30/09/2002,22.67
31/08/2002,22.58
31/07/2002,22.73
30/06/2002,22.92
31/05/2002,23.06
30/04/2002,22.93
31/03/2002,22.78
28/02/2002,22.76
31/01/2002,22.89
31/12/2001,22.99
30/11/2001,23.04
31/10/2001,22.95
30/09/2001,22.91
31/08/2001,22.83
31/07/2001,22.91
30/06/2001,22.88
31/05/2001,22.8
30/04/2001,22.97
31/03/2001,23.22
28/02/2001,23.45
31/01/2001,23.65
31/12/2000,23.89
30/11/2000,24.19
31/10/2000,24.21
30/09/2000,24.26
31/08/2000,24.34
31/07/2000,24.65
30/06/2000,24.83
31/05/2000,25.06
30/04/2000,25.22
31/03/2000,25.28
29/02/2000,25.33
31/01/2000,25.5
31/12/1999,25.62
30/11/1999,25.66
31/10/1999,25.63
30/09/1999,25.62
31/08/1999,25.64
31/07/1999,25.66
30/06/1999,25.62
31/05/1999,25.6
30/04/1999,25.6
31/03/1999,25.6
28/02/1999,25.79
31/01/1999,25.73
31/12/1998,25.63
30/11/1998,25.56
31/10/1998,25.52
30/09/1998,25.49
31/08/1998,25.52
31/07/1998,25.45
30/06/1998,25.38
31/05/1998,25.31
30/04/1998,25.18
31/03/1998,25.06
28/02/1998,24.94
31/01/1998,24.91
31/12/1997,24.88
30/11/1997,24.85
31/10/1997,24.73
30/09/1997,24.63
31/08/1997,24.6
31/07/1997,24.57
30/06/1997,24.53
31/05/1997,24.47
30/04/1997,24.44
31/03/1997,24.37
28/02/1997,24.35
31/01/1997,24.32
31/12/1996,24.31
30/11/1996,24.3
31/10/1996,24.17
30/09/1996,24.09
31/08/1996,24.04
31/07/1996,23.9
30/06/1996,23.73
31/05/1996,23.56
30/04/1996,23.48
31/03/1996,23.44
29/02/1996,23.43
31/01/1996,23.38
31/12/1995,23.28
30/11/1995,23.24
31/10/1995,23.1
30/09/1995,22.97
31/08/1995,22.92
31/07/1995,22.85
30/06/1995,22.78
31/05/1995,22.66
30/04/1995,22.6
31/03/1995,22.54
28/02/1995,22.5
31/01/1995,22.58
31/12/1994,22.67
30/11/1994,22.76
31/10/1994,22.62
30/09/1994,22.5
31/08/1994,22.38
31/07/1994,22.38
30/06/1994,22.42
31/05/1994,22.43
30/04/1994,22.43
31/03/1994,22.37
28/02/1994,22.33
31/01/1994,22.33
31/12/1993,22.33
30/11/1993,22.31
31/10/1993,22.28
30/09/1993,22.26
31/08/1993,22.32
31/07/1993,22.37
30/06/1993,22.43
31/05/1993,22.43
30/04/1993,22.44
31/03/1993,22.44
28/02/1993,22.48
31/01/1993,22.5
31/12/1992,22.52
30/11/1992,22.58
31/10/1992,22.57
30/09/1992,22.61
31/08/1992,22.69
31/07/1992,22.71
30/06/1992,22.73
31/05/1992,22.73
30/04/1992,22.82
31/03/1992,22.85
29/02/1992,22.89
31/01/1992,22.93
31/12/1991,22.93
30/11/1991,22.89
31/10/1991,22.95
30/09/1991,23.06
31/08/1991,23.14
31/07/1991,23.16
30/06/1991,23.15
31/05/1991,23.1
30/04/1991,23.15
31/03/1991,23.19
28/02/1991,23.2
31/01/1991,23.22
31/12/1990,23.24
30/11/1990,23.37
31/10/1990,23.2
30/09/1990,23.09
31/08/1990,23.07
31/07/1990,23.15
30/06/1990,23.25
31/05/1990,23.23
30/04/1990,23.12
31/03/1990,22.94
28/02/1990,22.75
31/01/1990,22.7
31/12/1989,22.62
30/11/1989,22.68
30/10/1989,22.49
