Date,Value
29/02/2020,2.4
31/01/2020,1.88
31/12/2019,1.79
30/11/2019,1.83
31/10/2019,1.86
30/09/2019,1.93
31/08/2019,1.92
31/07/2019,1.96
30/06/2019,1.88
31/05/2019,1.94
30/04/2019,1.95
31/03/2019,1.9
28/02/2019,1.96
31/01/2019,1.98
31/12/2018,2.08
30/11/2018,2.09
31/10/2018,1.96
30/09/2018,1.9
31/08/2018,1.8
31/07/2018,1.82
30/06/2018,1.84
31/05/2018,1.85
30/04/2018,1.88
31/03/2018,1.9
28/02/2018,1.85
31/01/2018,1.84
31/12/2017,1.77
30/11/2017,1.84
31/10/2017,1.88
30/09/2017,1.89
31/08/2017,1.93
31/07/2017,1.95
30/06/2017,1.94
31/05/2017,1.94
30/04/2017,1.96
31/03/2017,1.98
28/02/2017,1.96
31/01/2017,1.98
31/12/2016,2.02
30/11/2016,2.03
31/10/2016,2.1
30/09/2016,2.11
31/08/2016,2.09
31/07/2016,2.07
30/06/2016,2.08
31/05/2016,2.13
30/04/2016,2.14
31/03/2016,2.12
29/02/2016,2.17
31/01/2016,2.3
31/12/2015,2.27
30/11/2015,2.11
31/10/2015,2.07
30/09/2015,2.11
31/08/2015,2.19
31/07/2015,2.07
30/06/2015,2.01
31/05/2015,1.99
30/04/2015,1.96
31/03/2015,1.96
28/02/2015,1.96
31/01/2015,1.94
31/12/2014,1.97
30/11/2014,1.92
31/10/2014,1.91
30/09/2014,2
31/08/2014,1.93
31/07/2014,1.94
30/06/2014,1.91
31/05/2014,1.92
30/04/2014,1.96
31/03/2014,1.96
28/02/2014,1.94
31/01/2014,1.97
31/12/2013,1.94
30/11/2013,1.94
31/10/2013,1.95
30/09/2013,2.01
31/08/2013,2.04
31/07/2013,2.04
30/06/2013,2.02
31/05/2013,2.06
30/04/2013,2.01
31/03/2013,2.07
28/02/2013,2.07
31/01/2013,2.1
31/12/2012,2.13
30/11/2012,2.2
31/10/2012,2.2
30/09/2012,2.1
31/08/2012,2.05
31/07/2012,2.08
30/06/2012,2.11
31/05/2012,2.14
30/04/2012,2.09
31/03/2012,2
29/02/2012,1.97
31/01/2012,2
31/12/2011,2.06
30/11/2011,2.13
31/10/2011,2.12
30/09/2011,2.12
31/08/2011,2.15
31/07/2011,2.1
30/06/2011,1.86
31/05/2011,1.89
30/04/2011,1.8
31/03/2011,1.78
28/02/2011,1.8
31/01/2011,1.76
31/12/2010,1.79
30/11/2010,1.83
31/10/2010,1.89
30/09/2010,1.92
31/08/2010,1.99
31/07/2010,2.05
30/06/2010,2.05
31/05/2010,2.03
30/04/2010,1.95
31/03/2010,1.83
28/02/2010,1.9
31/01/2010,2.03
31/12/2009,1.98
30/11/2009,2.02
31/10/2009,2.1
30/09/2009,2.19
31/08/2009,2.29
31/07/2009,2.42
30/06/2009,2.67
31/05/2009,2.76
30/04/2009,2.9
31/03/2009,3.15
28/02/2009,3.6
31/01/2009,3.43
31/12/2008,3.24
30/11/2008,3.23
31/10/2008,3.23
30/09/2008,2.96
31/08/2008,2.37
31/07/2008,2.25
30/06/2008,2.29
31/05/2008,2.14
30/04/2008,2.04
31/03/2008,2.08
29/02/2008,2.15
31/01/2008,2.07
31/12/2007,2.03
30/11/2007,1.87
31/10/2007,1.88
30/09/2007,1.77
31/08/2007,1.8
31/07/2007,1.84
30/06/2007,1.74
31/05/2007,1.73
30/04/2007,1.72
31/03/2007,1.76
28/02/2007,1.81
31/01/2007,1.75
31/12/2006,1.76
30/11/2006,1.76
31/10/2006,1.77
30/09/2006,1.79
31/08/2006,1.83
31/07/2006,1.85
30/06/2006,1.88
31/05/2006,1.87
30/04/2006,1.8
31/03/2006,1.77
28/02/2006,1.76
31/01/2006,1.77
31/12/2005,1.75
30/11/2005,1.76
31/10/2005,1.78
30/09/2005,1.82
