Date,Value
2019-09-30,133.89
2019-08-31,134.79
2019-07-31,135.58
2019-06-30,136.61
2019-05-31,136.34
2019-04-30,136.33
2019-03-31,136.76
2019-02-28,136.85
2019-01-31,136.74
2018-12-31,136.31
2018-11-30,135.19
2018-10-31,134.06
2018-09-30,133.61
2018-08-31,131.06
2018-07-31,128.43
2018-06-30,125.73
2018-05-31,123.52
2018-04-30,121.61
2018-03-31,119.66
2018-02-28,118.01
2018-01-31,116.61
2017-12-31,115.3
2017-11-30,114.25
2017-10-31,113.27
2017-09-30,112.22
2017-08-31,111.74
2017-07-31,111.0
2017-06-30,109.85
2017-05-31,108.63
2017-04-30,107.41
2017-03-31,106.41
2017-02-28,104.46
2017-01-31,102.76
2016-12-31,101.3
2016-11-30,99.39
2016-10-31,97.28
2016-09-30,95.46
2016-08-31,94.91
2016-07-31,94.22
2016-06-30,93.29
2016-05-31,93.42
2016-04-30,93.63
2016-03-31,93.9
2016-02-29,94.34
2016-01-31,94.45
2015-12-31,94.63
2015-11-30,95.81
2015-10-31,97.11
2015-09-30,98.56
2015-08-31,99.94
2015-07-31,101.34
2015-06-30,102.88
2015-05-31,104.81
2015-04-30,106.93
2015-03-31,108.73
2015-02-28,110.5
2015-01-31,112.11
2014-12-31,112.71
2014-11-30,113.4
2014-10-31,114.12
2014-09-30,115.15
2014-08-31,114.21
2014-07-31,112.99
2014-06-30,111.92
2014-05-31,111.3
2014-04-30,110.87
2014-03-31,110.4
2014-02-28,110.88
2014-01-31,111.05
2013-12-31,111.22
2013-11-30,109.05
2013-10-31,106.68
2013-09-30,104.26
2013-08-31,103.12
2013-07-31,101.98
2013-06-30,100.76
2013-05-31,99.79
2013-04-30,98.77
2013-03-31,97.46
2013-02-28,97.27
2013-01-31,97.62
2012-12-31,97.47
2012-11-30,97.2
2012-10-31,96.74
2012-09-30,96.69
2012-08-31,97.66
2012-07-31,98.73
2012-06-30,99.11
2012-05-31,99.19
2012-04-30,99.31
2012-03-31,99.84
2012-02-29,100.0
2012-01-31,99.84
2011-12-31,99.67
2011-11-30,99.43
2011-10-31,99.36
2011-09-30,99.17
2011-08-31,98.13
2011-07-31,97.22
2011-06-30,96.12
2011-05-31,95.04
2011-04-30,94.5
2011-03-31,94.12
2011-02-28,93.5
2011-01-31,92.41
2010-12-31,91.29
2010-11-30,89.28
2010-10-31,87.16
2010-09-30,85.1
2010-08-31,83.27
2010-07-31,81.5
2010-06-30,79.63
2010-05-31,77.12
2010-04-30,74.74
2010-03-31,72.42
2010-02-28,68.76
2010-01-31,64.81
2009-12-31,61.06
2009-11-30,45.63
2009-10-31,30.33
2009-09-30,15.02
2009-08-31,13.02
2009-07-31,11.03
2009-06-30,9.01
2009-05-31,8.82
2009-04-30,8.58
2009-03-31,8.34
2009-02-28,11.62
2009-01-31,14.95
2008-12-31,18.31
2008-11-30,30.73
2008-10-31,42.51
2008-09-30,54.33
2008-08-31,56.39
2008-07-31,58.29
2008-06-30,60.73
2008-05-31,64.93
2008-04-30,69.1
2008-03-31,73.16
2008-02-29,76.15
2008-01-31,78.74
2007-12-31,81.51
2007-11-30,86.55
2007-10-31,92.19
2007-09-30,97.52
2007-08-31,100.41
2007-07-31,102.84
2007-06-30,105.43
2007-05-31,104.9
2007-04-30,104.81
2007-03-31,104.74
2007-02-28,105.0
2007-01-31,104.86
2006-12-31,104.48
2006-11-30,103.38
2006-10-31,101.97
2006-09-30,100.17
2006-08-31,97.95
2006-07-31,96.42
2006-06-30,94.97
2006-05-31,94.38
2006-04-30,94.07
2006-03-31,94.08
2006-02-28,93.37
2006-01-31,92.33
2005-12-31,91.79
2005-11-30,89.95
2005-10-31,87.77
2005-09-30,86.49
2005-08-31,86.14
2005-07-31,85.16
2005-06-30,84.13
2005-05-31,82.83
2005-04-30,81.4
2005-03-31,80.59
2005-02-28,80.47
2005-01-31,80.18
2004-12-31,79.59
2004-11-30,78.94
2004-10-31,78.63
2004-09-30,78.69
2004-08-31,78.12
2004-07-31,77.43
2004-06-30,76.57
2004-05-31,74.92
2004-04-30,73.45
2004-03-31,71.78
2004-02-29,70.73
2004-01-31,69.6
2003-12-31,68.41
2003-11-30,63.59
2003-10-31,58.68
2003-09-30,53.89
2003-08-31,52.18
2003-07-31,50.49
2003-06-30,48.65
2003-05-31,46.72
2003-04-30,44.66
2003-03-31,42.58
2003-02-28,41.55
2003-01-31,40.57
2002-12-31,39.45
2002-11-30,40.53
2002-10-31,41.7
2002-09-30,42.93
2002-08-31,41.43
2002-07-31,39.99
2002-06-30,38.45
2002-05-31,37.49
2002-04-30,36.51
2002-03-31,35.73
2002-02-28,35.93
2002-01-31,36.07
2001-12-31,36.14
2001-11-30,37.76
2001-10-31,39.45
2001-09-30,41.07
2001-08-31,45.38
2001-07-31,49.5
2001-06-30,53.46
2001-05-31,57.75
2001-04-30,62.23
2001-03-31,66.71
2001-02-28,69.1
2001-01-31,71.62
2000-12-31,74.33
2000-11-30,76.12
2000-10-31,78.0
2000-09-30,79.97
2000-08-31,79.5
2000-07-31,78.61
2000-06-30,77.9
2000-05-31,77.82
2000-04-30,77.43
2000-03-31,76.98
2000-02-29,76.21
2000-01-31,75.24
1999-12-31,74.04
1999-11-30,71.88
1999-10-31,69.77
1999-09-30,67.73
1999-08-31,66.53
1999-07-31,65.17
1999-06-30,63.84
1999-05-31,62.47
1999-04-30,61.11
1999-03-31,60.17
1999-02-28,60.0
1999-01-31,59.72
1998-12-31,59.52
1998-11-30,59.68
1998-10-31,59.88
1998-09-30,60.23
1998-08-31,60.76
1998-07-31,61.3
1998-06-30,61.84
1998-05-31,62.22
1998-04-30,62.64
1998-03-31,63.06
1998-02-28,63.27
1998-01-31,63.48
1997-12-31,63.7
1997-11-30,64.11
1997-10-31,64.56
1997-09-30,65.22
1997-08-31,65.33
1997-07-31,65.4
1997-06-30,65.44
1997-05-31,65.35
1997-04-30,65.14
1997-03-31,65.06
1997-02-28,64.4
1997-01-31,63.79
1996-12-31,63.17
1996-11-30,61.68
1996-10-31,60.31
1996-09-30,59.01
1996-08-31,58.6
1996-07-31,58.12
1996-06-30,57.63
1996-05-31,57.19
1996-04-30,56.82
1996-03-31,56.55
1996-02-29,56.8
1996-01-31,56.94
1995-12-31,57.23
1995-11-30,57.88
1995-10-31,58.52
1995-09-30,59.4
1995-08-31,59.09
1995-07-31,58.83
1995-06-30,58.4
1995-05-31,57.45
1995-04-30,56.5
1995-03-31,55.61
1995-02-28,54.68
1995-01-31,53.78
1994-12-31,52.88
1994-11-30,50.99
1994-10-31,49.17
1994-09-30,47.32
1994-08-31,46.21
1994-07-31,45.16
1994-06-30,44.05
1994-05-31,42.74
1994-04-30,41.31
1994-03-31,39.91
1994-02-28,39.56
1994-01-31,39.21
1993-12-31,38.84
1993-11-30,37.96
1993-10-31,37.11
1993-09-30,36.39
1993-08-31,35.82
1993-07-31,35.27
1993-06-30,34.63
1993-05-31,34.98
1993-04-30,35.33
1993-03-31,35.74
1993-02-28,35.41
1993-01-31,35.08
1992-12-31,34.8
1992-11-30,34.14
1992-10-31,33.55
1992-09-30,33.03
1992-08-31,32.51
1992-07-31,32.0
1992-06-30,31.46
1992-05-31,31.04
1992-04-30,30.55
1992-03-31,30.06
1992-02-29,30.08
1992-01-31,30.05
1991-12-31,29.96
1991-11-30,31.14
1991-10-31,32.39
1991-09-30,33.6
1991-08-31,34.75
1991-07-31,35.86
1991-06-30,36.92
1991-05-31,38.0
1991-04-30,39.09
1991-03-31,40.12
1991-02-28,40.44
1991-01-31,40.76
1990-12-31,41.26
1990-11-30,41.51
1990-10-31,41.87
1990-09-30,42.38
1990-08-31,42.42
1990-07-31,42.49
1990-06-30,42.34
1990-05-31,42.84
1990-04-30,43.21
1990-03-31,43.56
1990-02-28,44.6
1990-01-31,45.62
1989-12-31,46.91
1989-11-30,47.55
1989-10-31,48.23
1989-09-30,49.02
1989-08-31,50.24
1989-07-31,51.38
1989-06-30,52.57
1989-05-31,52.52
1989-04-30,52.63
1989-03-31,52.79
1989-02-28,52.24
1989-01-31,51.59
1988-12-31,50.98
1988-11-30,50.35
1988-10-31,49.66
1988-09-30,49.08
1988-08-31,48.64
1988-07-31,48.08
1988-06-30,47.5
1988-05-31,45.45
1988-04-30,43.33
1988-03-31,41.28
1988-02-29,40.65
1988-01-31,39.94
1987-12-31,39.23
1987-11-30,38.0
1987-10-31,36.81
1987-09-30,35.68
1987-08-31,34.78
1987-07-31,33.87
1987-06-30,32.86
1987-05-31,33.5
1987-04-30,34.14
1987-03-31,34.84
1987-02-28,34.52
1987-01-31,34.16
1986-12-31,33.9
1986-11-30,34.22
1986-10-31,34.54
1986-09-30,34.86
1986-08-31,34.91
1986-07-31,34.86
1986-06-30,34.75
1986-05-31,34.79
1986-04-30,34.74
1986-03-31,34.52
1986-02-28,34.44
1986-01-31,34.41
1985-12-31,34.58
1985-11-30,35.16
1985-10-31,35.75
1985-09-30,36.38
1985-08-31,36.78
1985-07-31,37.15
1985-06-30,37.53
1985-05-31,38.26
1985-04-30,39.03
1985-03-31,39.85
1985-02-28,40.2
1985-01-31,40.6
1984-12-31,40.88
1984-11-30,40.81
1984-10-31,40.75
1984-09-30,40.8
1984-08-31,40.7
1984-07-31,40.55
1984-06-30,40.41
1984-05-31,39.74
1984-04-30,39.07
1984-03-31,38.47
1984-02-29,37.51
1984-01-31,36.66
1983-12-31,35.83
1983-11-30,35.24
1983-10-31,34.69
1983-09-30,34.17
1983-08-31,33.72
1983-07-31,33.21
1983-06-30,32.73
1983-05-31,32.68
1983-04-30,32.73
1983-03-31,32.82
1983-02-28,33.01
1983-01-31,33.24
1982-12-31,33.5
1982-11-30,34.17
1982-10-31,34.91
1982-09-30,35.83
1982-08-31,36.44
1982-07-31,37.06
1982-06-30,37.79
1982-05-31,38.84
1982-04-30,39.79
1982-03-31,40.54
1982-02-28,41.0
1982-01-31,41.63
1981-12-31,42.27
1981-11-30,42.32
1981-10-31,42.37
1981-09-30,42.38
1981-08-31,42.55
1981-07-31,42.63
1981-06-30,42.86
1981-05-31,42.83
1981-04-30,42.75
1981-03-31,42.62
1981-02-28,43.14
1981-01-31,43.83
1980-12-31,44.42
1980-11-30,44.66
1980-10-31,44.84
1980-09-30,45.08
1980-08-31,45.77
