Date,Value
2020-04-01,5.38
2020-03-01,5.36
2020-02-01,4.06
2020-01-01,4.05
2019-12-01,4.18
2019-11-01,4.28
2019-10-01,4.46
2019-09-01,4.46
2019-08-01,4.61
2019-07-01,4.49
2019-06-01,4.68
2019-05-01,4.73
2019-04-01,4.64
2019-03-01,4.79
2019-02-01,4.85
2019-01-01,5.1
2018-12-01,5.16
2018-11-01,4.84
2018-10-01,4.71
2018-09-01,4.49
2018-08-01,4.47
2018-07-01,4.48
2018-06-01,4.45
2018-05-01,4.45
2018-04-01,4.44
2018-03-01,4.27
2018-02-01,4.2
2018-01-01,4.01
2017-12-01,4.12
2017-11-01,4.2
2017-10-01,4.22
2017-09-01,4.3
2017-08-01,4.32
2017-07-01,4.28
2017-06-01,4.27
2017-05-01,4.29
2017-04-01,4.3
2017-03-01,4.24
2017-02-01,4.22
2017-01-01,4.24
2016-12-01,4.21
2016-11-01,4.28
2016-10-01,4.24
2016-09-01,4.13
2016-08-01,4.07
2016-07-01,4.08
2016-06-01,4.17
2016-05-01,4.2
2016-04-01,4.17
2016-03-01,4.28
2016-02-01,4.54
2016-01-01,4.51
2015-12-01,4.21
2015-11-01,4.23
2015-10-01,4.41
2015-09-01,4.66
2015-08-01,4.51
2015-07-01,4.46
2015-06-01,4.52
2015-05-01,4.56
2015-04-01,4.67
2015-03-01,4.77
2015-02-01,4.82
2015-01-01,4.99
2014-12-01,4.98
2014-11-01,5.06
2014-10-01,5.41
2014-09-01,5.32
2014-08-01,5.35
2014-07-01,5.27
2014-06-01,5.3
2014-05-01,5.42
2014-04-01,5.45
2014-03-01,5.41
2014-02-01,5.54
2014-01-01,5.51
2013-12-01,5.54
2013-11-01,5.51
2013-10-01,5.6
2013-09-01,5.59
2013-08-01,5.58
2013-07-01,5.52
2013-06-01,5.62
2013-05-01,5.48
2013-04-01,5.65
2013-03-01,5.66
2013-02-01,5.77
2013-01-01,5.87
2012-12-01,6.08
2012-11-01,6.2
2012-10-01,6.02
2012-09-01,5.99
2012-08-01,6.2
2012-07-01,6.43
2012-06-01,6.64
2012-05-01,6.57
2012-04-01,6.37
2012-03-01,6.37
2012-02-01,6.51
2012-01-01,6.73
2011-12-01,6.99
2011-11-01,7.09
2011-10-01,7.2
2011-09-01,7.41
2011-08-01,7.25
2011-07-01,6.41
2011-06-01,6.52
2011-05-01,6.2
2011-04-01,6.17
2011-03-01,6.23
2011-02-01,6.05
2011-01-01,6.13
2010-12-01,6.23
2010-11-01,6.3
2010-10-01,6.29
2010-09-01,6.4
2010-08-01,6.46
2010-07-01,6.36
2010-06-01,6.19
2010-05-01,5.78
2010-04-01,5.26
2010-03-01,5.29
2010-02-01,5.29
2010-01-01,4.83
2009-12-01,4.59
2009-11-01,3.51
2009-10-01,2.37
2009-09-01,1.2
2009-08-01,1.08
2009-07-01,0.98
2009-06-01,0.81
2009-05-01,0.81
2009-04-01,0.83
2009-03-01,0.91
2009-02-01,1.18
2009-01-01,1.41
2008-12-01,1.7
2008-11-01,2.86
2008-10-01,3.67
2008-09-01,3.78
2008-08-01,3.73
2008-07-01,3.94
2008-06-01,3.83
2008-05-01,3.88
2008-04-01,4.19
2008-03-01,4.59
2008-02-01,4.6
2008-01-01,4.66
2007-12-01,4.47
2007-11-01,4.81
2007-10-01,4.84
2007-09-01,5.25
2007-08-01,5.55
2007-07-01,5.45
2007-06-01,5.61
2007-05-01,5.58
2007-04-01,5.72
2007-03-01,5.91
2007-02-01,5.72
2007-01-01,5.76
2006-12-01,5.75
2006-11-01,5.8
2006-10-01,5.83
2006-09-01,5.96
2006-08-01,6.0
2006-07-01,6.02
2006-06-01,5.94
2006-05-01,5.73
2006-04-01,5.63
2006-03-01,5.62
2006-02-01,5.62
2006-01-01,5.53
2005-12-01,5.53
2005-11-01,5.55
2005-10-01,5.67
2005-09-01,5.42
2005-08-01,5.34
2005-07-01,5.26
2005-06-01,5.26
2005-05-01,5.28
2005-04-01,5.26
2005-03-01,5.04
2005-02-01,4.97
2005-01-01,5.0
2004-12-01,4.88
2004-11-01,4.99
2004-10-01,5.19
2004-09-01,5.17
2004-08-01,5.26
2004-07-01,5.13
2004-06-01,4.96
2004-05-01,4.97
2004-04-01,4.71
