Date,Value
2020-04-01,2470.5
2020-03-31,2584.59
2020-03-01,2480.64
2020-02-28,2954.81
2020-02-01,3277.31
2020-01-31,3225.04
2020-01-01,3287.19
2019-12-31,3230.83
2019-12-01,3197.81
2019-11-01,3122.65
2019-10-01,2993.09
2019-09-01,3004.44
2019-08-01,2921.44
2019-07-01,3020.72
2019-06-01,2918.77
2019-05-31,2752.08
2019-05-01,2883.54
2019-04-01,2939.37
2019-03-01,2853.35
2019-02-01,2819.18
2019-01-01,2679.55
2018-12-01,2643.39
2018-11-01,2794.97
2018-10-01,2849.27
2018-09-01,2973.21
2018-08-01,2931.85
2018-07-01,2867.6
2018-06-01,2827.46
2018-05-01,2777.62
2018-04-01,2739.76
2018-03-01,2801.59
2018-02-01,2810.4
2018-01-01,2911.48
2017-12-01,2795.7
2017-11-01,2719.88
2017-10-01,2681.55
2017-09-01,2612.61
2017-08-01,2587.87
2017-07-01,2593.37
2017-06-01,2570.35
2017-05-01,2531.84
2017-04-01,2495.88
2017-03-01,2511.25
2017-02-01,2474.09
2017-01-01,2423.51
2016-12-01,2407.11
2016-11-01,2320.4
2016-10-01,2293.28
2016-09-01,2311.86
2016-08-01,2331.66
2016-07-01,2310.09
2016-06-01,2236.58
2016-05-01,2224.18
2016-04-01,2243.98
2016-03-01,2196.4
2016-02-01,2077.64
2016-01-01,2094.83
2015-12-01,2246.47
2015-11-01,2267.72
2015-10-01,2202.23
2015-09-01,2113.83
2015-08-01,2214.16
2015-07-01,2269.85
2015-06-01,2275.58
2015-05-01,2297.31
2015-04-01,2290.35
2015-03-01,2278.71
2015-02-01,2294.71
2015-01-01,2244.89
2014-12-01,2263.06
2014-11-01,2239.61
2014-10-01,2110.61
2014-09-01,2166.12
2014-08-01,2133.28
2014-07-01,2142.28
2014-06-01,2113.21
2014-05-01,2054.82
2014-04-01,2034.16
2014-03-01,2040.06
2014-02-01,2001.99
2014-01-01,2015.27
2013-12-01,2006.59
2013-11-01,1979.51
2013-10-01,1905.12
2013-09-01,1863.91
2013-08-01,1847.19
2013-07-01,1847.85
2013-06-01,1793.29
2013-05-01,1820.99
2013-04-01,1747.32
2013-03-01,1723.42
2013-02-01,1685.01
2013-01-01,1662.96
2012-12-01,1602.41
2012-11-01,1566.88
2012-10-01,1607.89
2012-09-01,1613.53
2012-08-01,1575.85
2012-07-01,1535.31
2012-06-01,1491.89
2012-05-01,1509.72
2012-04-01,1558.72
2012-03-01,1566.6
2012-02-01,1536.74
2012-01-01,1484.27
2011-12-01,1425.16
2011-11-01,1402.32
2011-10-01,1379.21
2011-09-01,1338.35
2011-08-01,1353.43
2011-07-01,1517.33
2011-06-01,1475.24
2011-05-01,1532.06
2011-04-01,1531.45
2011-03-01,1510.03
2011-02-01,1544.2
2011-01-01,1506.59
2010-12-01,1465.27
2010-11-01,1417.38
2010-10-01,1385.67
2010-09-01,1328.78
2010-08-01,1288.32
2010-07-01,1281.22
2010-06-01,1285.72
2010-05-01,1333.9
2010-04-01,1420.68
2010-03-01,1369.34
2010-02-01,1299.9
2010-01-01,1341.31
2009-12-01,1330.09
2009-11-01,1301.07
2009-10-01,1277.56
2009-09-01,1251.12
2009-08-01,1210.17
2009-07-01,1124.1
2009-06-01,1110.68
2009-05-01,1091.55
2009-04-01,1028.88
2009-03-01,920.76
2009-02-01,981.63
2009-01-01,1060.45
2008-12-01,1079.81
2008-11-01,1075.31
2008-10-01,1157.15
2008-09-01,1438.86
2008-08-01,1513.05
2008-07-01,1478.62
2008-06-01,1585.59
2008-05-01,1675.57
2008-04-01,1650.24
2008-03-01,1595.4
2008-02-01,1655.58
2008-01-01,1689.67
2007-12-01,1821.79
2007-11-01,1801.09
2007-10-01,1906.21
2007-09-01,1857.51
2007-08-01,1809.75
2007-07-01,1888.51
2007-06-01,1879.93
2007-05-01,1879.78
2007-04-01,1831.82
2007-03-01,1772.31
2007-02-01,1836.56
2007-01-01,1820.01
2006-12-01,1815.64
2006-11-01,1782.68
2006-10-01,1747.65
2006-09-01,1679.99
2006-08-01,1632.94
2006-07-01,1601.95
2006-06-01,1597.67
2006-05-01,1647.89
2006-04-01,1671.68
2006-03-01,1674.99
2006-02-01,1662.01
2006-01-01,1668.08
2005-12-01,1658.89
2005-11-01,1619.84
2005-10-01,1547.86
2005-09-01,1595.16
2005-08-01,1612.48
2005-07-01,1618.05
2005-06-01,1598.95
2005-05-01,1567.88
2005-04-01,1547.85
2005-03-01,1599.04
2005-02-01,1617.92
2005-01-01,1602.54
2004-12-01,1630.11
2004-11-01,1583.14
2004-10-01,1513.87
2004-09-01,1522.45
2004-08-01,1486.46
2004-07-01,1510.34
2004-06-01,1544.65
2004-05-01,1508.54
2004-04-01,1559.44
2004-03-01,1551.49
2004-02-01,1588.41
2004-01-01,1581.85
2003-12-01,1516.75
2003-11-01,1472.01
2003-10-01,1452.41
2003-09-01,1423.9
2003-08-01,1386.62
2003-07-01,1396.13
2003-06-01,1391.26
2003-05-01,1319.41
2003-04-01,1252.62
2003-03-01,1188.95
2003-02-01,1182.53
2003-01-01,1275.37
2002-12-01,1285.78
2002-11-01,1298.28
2002-10-01,1219.38
2002-09-01,1240.24
2002-08-01,1306.35
2002-07-01,1297.83
2002-06-01,1458.06
2002-05-01,1552.72
2002-04-01,1599.73
2002-03-01,1669.24
2002-02-01,1601.34
2002-01-01,1665.43
2001-12-01,1676.11
2001-11-01,1647.26
2001-10-01,1567.19
2001-09-01,1515.57
2001-08-01,1717.48
2001-07-01,1755.29
2001-06-01,1800.15
2001-05-01,1849.28
2001-04-01,1739.88
2001-03-01,1740.94
2001-02-01,1921.32
2001-01-01,1973.15
2000-12-01,1978.63
2000-11-01,2047.49
2000-10-01,2066.66
2000-09-01,2186.25
2000-08-01,2223.7
2000-07-01,2205.05
2000-06-01,2193.6
2000-05-01,2139.53
2000-04-01,2206.78
2000-03-01,2179.14
2000-02-01,2115.84
2000-01-01,2184.65
1999-12-01,2195.89
1999-11-01,2137.97
1999-10-01,1999.31
1999-09-01,2030.86
1999-08-01,2055.01
1999-07-01,2142.96
1999-06-01,2058.45
1999-05-01,2073.27
1999-04-01,2077.46
1999-03-01,2009.32
1999-02-01,1960.26
1999-01-01,1966.09
1998-12-01,1878.22
1998-11-01,1805.11
1998-10-01,1628.52
1998-09-01,1613.8
1998-08-01,1701.23
1998-07-01,1833.22
1998-06-01,1758.99
1998-05-01,1761.2
1998-04-01,1770.47
1998-03-01,1717.34
1998-02-01,1635.69
1998-01-01,1542.08
1997-12-01,1543.36
1997-11-01,1503.89
1997-10-01,1522.55
1997-09-01,1503.64
1997-08-01,1491.65
1997-07-01,1491.29
1997-06-01,1414.08
1997-05-01,1346.05
1997-04-01,1233.53
1997-03-01,1280.71
1997-02-01,1294.02
1997-01-01,1245.78
1996-12-01,1212.25
1996-11-01,1199.88
1996-10-01,1146.26
1996-09-01,1106.32
1996-08-01,1089.77
1996-07-01,1061.19
1996-06-01,1103.55
1996-05-01,1092.25
1996-04-01,1071.07
1996-03-01,1075.03
1996-02-01,1084.71
1996-01-01,1029.38
1995-12-01,1035.67
1995-11-01,1002.93
1995-10-01,981.06
1995-09-01,977.25
1995-08-01,945.91
1995-07-01,945.44
1995-06-01,914.87
1995-05-01,890.26
1995-04-01,864.95
1995-03-01,842.58
1995-02-01,826.12
1995-01-01,800.73
1994-12-01,786.56
1994-11-01,796.61
1994-10-01,802.52
1994-09-01,808.52
1994-08-01,805.96
1994-07-01,786.84
1994-06-01,794.96
1994-05-01,790.77
1994-04-01,784.86
1994-03-01,815.06
1994-02-01,831.54
1994-01-01,836.88
1993-12-01,826.69
1993-11-01,821.26
1993-10-01,823.62
1993-09-01,818.71
1993-08-01,811.28
1993-07-01,801.27
1993-06-01,802.65
1993-05-01,798.73
1993-04-01,795.94
1993-03-01,810.91
1993-02-01,798.45
1993-01-01,789.51
1992-12-01,794.15
1992-11-01,770.28
1992-10-01,752.5
1992-09-01,766.11
1992-08-01,767.28
1992-07-01,764.16
1992-06-01,753.28
1992-05-01,768.09
1992-04-01,755.47
1992-03-01,756.46
1992-02-01,769.99
1992-01-01,779.37
1991-12-01,728.78
1991-11-01,724.45
1991-10-01,728.36
1991-09-01,730.03
1991-08-01,737.4
1991-07-01,722.15
1991-06-01,719.52
1991-05-01,721.07
1991-04-01,726.44
1991-03-01,713.34
1991-02-01,695.17
1991-01-01,625.54
1990-12-01,635.58
1990-11-01,609.56
1990-10-01,595.1
1990-09-01,614.84
1990-08-01,650.13
1990-07-01,714.2
1990-06-01,717.67
1990-05-01,701.25
1990-04-01,678.66
1990-03-01,680.28
1990-02-01,667.81
1990-01-01,690.29
1989-12-01,715.11
1989-11-01,698.99
1989-10-01,715.48
1989-09-01,718.71
1989-08-01,719.56
1989-07-01,690.15
1989-06-01,674.73
1989-05-01,655.89
1989-04-01,635.24
1989-03-01,619.09
1989-02-01,625.42
1989-01-01,609.63
1988-12-01,593.56
1988-11-01,582.72
1988-10-01,596.98
1988-09-01,578.68
1988-08-01,573.22
1988-07-01,587.43
1988-06-01,593.42
1988-05-01,563.81
1988-04-01,580.09
1988-03-01,589.96
1988-02-01,575.56
1988-01-01,560.06
1987-12-01,540.22
1987-11-01,549.19
1987-10-01,628.63
1987-09-01,716.88
1987-08-01,744.83
1987-07-01,704.89
1987-06-01,686.92
1987-05-01,661.22
1987-04-01,664.02
1987-03-01,674.96
1987-02-01,651.1
1987-01-01,615.29
1986-12-01,581.97
1986-11-01,574.29
1986-10-01,556.76
1986-09-01,559.37
1986-08-01,577.72
1986-07-01,567.44
1986-06-01,579.49
1986-05-01,566.53
1986-04-01,566.9
1986-03-01,552.31
1986-02-01,519.25
1986-01-01,491.39
1985-12-01,490.61
1985-11-01,468.71
1985-10-01,443.11
1985-09-01,439.73
1985-08-01,451.01
1985-07-01,461.92
1985-06-01,454.13
1985-05-01,445.76
1985-04-01,437.02
1985-03-01,436.15
1985-02-01,441.46
1985-01-01,420.75
1984-12-01,404.11
1984-11-01,408.53
1984-10-01,404.84
1984-09-01,409.2
1984-08-01,406.95
1984-07-01,375.47
1984-06-01,381.91
1984-05-01,391.77
1984-04-01,395.42
1984-03-01,396.84
1984-02-01,397.36
1984-01-01,422.41
1983-12-01,419.81
1983-11-01,422.27
1983-10-01,429.51
1983-09-01,429.5
1983-08-01,419.25
1983-07-01,432.42
1983-06-01,432.6
1983-05-01,427.91
1983-04-01,413.73
1983-03-01,401.36
1983-02-01,387.88
1983-01-01,381.67
1982-12-01,369.46
1982-11-01,364.52
1982-10-01,349.56
1982-09-01,323.41
1982-08-01,290.45
1982-07-01,290.25
1982-06-01,292.55
1982-05-01,314.3
1982-04-01,317.01
1982-03-01,303.3
1982-02-01,313.09
1982-01-01,321.77
1981-12-01,340.68
1981-11-01,339.29
1981-10-01,331.79
1981-09-01,328.34
1981-08-01,363.21
1981-07-01,364.58
1981-06-01,377.74
1981-05-01,379.38
1981-04-01,390.19
1981-03-01,389.33
1981-02-01,377.86
1981-01-01,395.45
1980-12-01,400.16
1980-11-01,410.56
1980-10-01,397.17
1980-09-01,389.56
1980-08-01,383.51
1980-07-01,374.72
1980-06-01,358.46
1980-05-01,340.58
1980-04-01,328.94
1980-03-01,338.12
1980-02-01,378.02
1980-01-01,368.73
1979-12-01,363.57
1979-11-01,353.42
1979-10-01,359.47
1979-09-01,376.57
1979-08-01,376.45
1979-07-01,363.42
1979-06-01,363.87
1979-05-01,360.81
1979-04-01,374.09
1979-03-01,370.97
1979-02-01,367.73
1979-01-01,377.64
1978-12-01,367.23
1978-11-01,363.49
1978-10-01,387.82
1978-09-01,404.16
1978-08-01,407.22
1978-07-01,382.66
1978-06-01,387.46
1978-05-01,390.66
1978-04-01,375.31
1978-03-01,362.39
1978-02-01,365.93
1978-01-01,373.53
1977-12-01,390.81
1977-11-01,393.99
1977-10-01,393.64
1977-09-01,405.42
1977-08-01,413.17
1977-07-01,424.91
1977-06-01,423.13
1977-05-01,423.67
1977-04-01,427.03
1977-03-01,437.36
1977-02-01,442.07
1977-01-01,458.99
1976-12-01,465.35
1976-11-01,451.35
1976-10-01,455.26
1976-09-01,473.79
1976-08-01,465.53
1976-07-01,472.05
1976-06-01,463.62
1976-05-01,463.33
1976-04-01,469.86
1976-03-01,467.84
1976-02-01,466.36
1976-01-01,450.64
1975-12-01,413.42
1975-11-01,421.32
1975-10-01,417.32
1975-09-01,401.14
1975-08-01,408.31
1975-07-01,441.42
1975-06-01,445.93
1975-05-01,438.1
1975-04-01,414.28
1975-03-01,411.23
1975-02-01,394.67
1975-01-01,360.26
1974-12-01,334.29
1974-11-01,360.34
1974-10-01,351.52
1974-09-01,348.24
1974-08-01,393.35
1974-07-01,415.3
1974-06-01,474.01
1974-05-01,477.28
1974-04-01,498.28
1974-03-01,527.31
1974-02-01,512.15
1974-01-01,533.51
1973-12-01,530.68
1973-11-01,574.84
1973-10-01,622.87
1973-09-01,604.35
1973-08-01,595.36
1973-07-01,617.79
1973-06-01,613.34
1973-05-01,631.67
1973-04-01,654.41
1973-03-01,671.49
1973-02-01,688.6
1973-01-01,718.95
1972-12-01,715.17
1972-11-01,702.21
1972-10-01,670.24
1972-09-01,672.19
1972-08-01,683.65
1972-07-01,661.82
1972-06-01,669.96
1972-05-01,669.7
1972-04-01,678.17
1972-03-01,672.94
1972-02-01,658.91
1972-01-01,650.16
1971-12-01,624.16
1971-11-01,586.8
1971-10-01,615.32
1971-09-01,630.21
1971-08-01,616.52
1971-07-01,629.22
1971-06-01,635.35
1971-05-01,652.15
1971-04-01,664.43
1971-03-01,644.11
1971-02-01,629.58
1971-01-01,607.63
1970-12-01,585.28
1970-11-01,550.54
1970-10-01,553.93
1970-09-01,544.94
1970-08-01,516.83
1970-07-01,502.23
1970-06-01,503.96
1970-05-01,509.72
1970-04-01,577.49
1970-03-01,600.31
1970-02-01,593.33
1970-01-01,618.02
1969-12-01,625.15
1969-11-01,663.66
1969-10-01,662.44
1969-09-01,658.97
1969-08-01,658.44
1969-07-01,665.74
1969-06-01,700.69
1969-05-01,743.34
1969-04-01,721.88
1969-03-01,711.54
1969-02-01,733.4
1969-01-01,741.16
1968-12-01,776.03
1968-11-01,770.19
1968-10-01,760.65
1968-09-01,746.56
1968-08-01,725.11
1968-07-01,743.42
1968-06-01,749.2
1968-05-01,733.82
1968-04-01,719.41
1968-03-01,671.88
1968-02-01,686.4
1968-01-01,720.96
1967-12-01,727.2
1967-11-01,709.15
1967-10-01,734.28
1967-09-01,737.62
1967-08-01,729.63
1967-07-01,720.35
1967-06-01,710.24
1967-05-01,721.42
1967-04-01,710.86
1967-03-01,700.94
1967-02-01,686.87
1967-01-01,663.99
1966-12-01,639.46
1966-11-01,636.79
1966-10-01,606.44
1966-09-01,615.53
1966-08-01,637.99
1966-07-01,683.23
1966-06-01,687.09
1966-05-01,694.99
1966-04-01,733.59
1966-03-01,716.24
1966-02-01,749.28
1966-01-01,759.11
1965-12-01,746.18
1965-11-01,751.96
1965-10-01,745.76
1965-09-01,731.67
1965-08-01,708.01
1965-07-01,695.07
1965-06-01,696.14
1965-05-01,735.5
1965-04-01,724.71
1965-03-01,717.6
1965-02-01,719.24
1965-01-01,714.02
1964-12-01,696.11
1964-11-01,708.38
1964-10-01,705.75
1964-09-01,693.77
1964-08-01,684.25
1964-07-01,692.19
1964-06-01,669.56
1964-05-01,675.74
