Date,Value
2020-04-01,18.59
2020-03-01,18.67
2020-02-01,24.66
2020-01-01,24.67
2019-12-01,23.9
2019-11-01,23.36
2019-10-01,22.41
2019-09-01,22.44
2019-08-01,21.67
2019-07-01,22.28
2019-06-01,21.37
2019-05-01,21.15
2019-04-01,21.56
2019-03-01,20.86
2019-02-01,20.6
2019-01-01,19.6
2018-12-01,19.39
2018-11-01,20.67
2018-10-01,21.25
2018-09-01,22.25
2018-08-01,22.37
2018-07-01,22.33
2018-06-01,22.49
2018-05-01,22.49
2018-04-01,22.53
2018-03-01,23.41
2018-02-01,23.82
2018-01-01,24.97
2017-12-01,24.25
2017-11-01,23.81
2017-10-01,23.67
2017-09-01,23.28
2017-08-01,23.16
2017-07-01,23.36
2017-06-01,23.4
2017-05-01,23.31
2017-04-01,23.24
2017-03-01,23.6
2017-02-01,23.68
2017-01-01,23.59
2016-12-01,23.76
2016-11-01,23.35
2016-10-01,23.57
2016-09-01,24.22
2016-08-01,24.57
2016-07-01,24.52
2016-06-01,23.97
2016-05-01,23.81
2016-04-01,23.97
2016-03-01,23.39
2016-02-01,22.02
2016-01-01,22.18
2015-12-01,23.74
2015-11-01,23.67
2015-10-01,22.68
2015-09-01,21.45
2015-08-01,22.15
2015-07-01,22.4
2015-06-01,22.12
2015-05-01,21.92
2015-04-01,21.42
2015-03-01,20.96
2015-02-01,20.77
2015-01-01,20.02
2014-12-01,20.08
2014-11-01,19.75
2014-10-01,18.5
2014-09-01,18.81
2014-08-01,18.68
2014-07-01,18.96
2014-06-01,18.88
2014-05-01,18.46
2014-04-01,18.35
2014-03-01,18.48
2014-02-01,18.06
2014-01-01,18.15
2013-12-01,18.04
2013-11-01,18.15
2013-10-01,17.86
2013-09-01,17.88
2013-08-01,17.91
2013-07-01,18.12
2013-06-01,17.8
2013-05-01,18.25
2013-04-01,17.69
2013-03-01,17.68
2013-02-01,17.32
2013-01-01,17.03
2012-12-01,16.44
2012-11-01,16.12
2012-10-01,16.62
2012-09-01,16.69
2012-08-01,16.14
2012-07-01,15.55
2012-06-01,15.05
2012-05-01,15.22
2012-04-01,15.7
2012-03-01,15.69
2012-02-01,15.37
2012-01-01,14.87
2011-12-01,14.3
2011-11-01,14.1
2011-10-01,13.88
2011-09-01,13.5
2011-08-01,13.79
2011-07-01,15.61
2011-06-01,15.35
2011-05-01,16.12
2011-04-01,16.21
2011-03-01,16.04
2011-02-01,16.52
2011-01-01,16.3
2010-12-01,16.05
2010-11-01,15.88
2010-10-01,15.9
2010-09-01,15.61
2010-08-01,15.47
2010-07-01,15.72
2010-06-01,16.15
2010-05-01,17.3
2010-04-01,19.01
2010-03-01,18.91
2010-02-01,18.91
2010-01-01,20.7
2009-12-01,21.78
2009-11-01,28.51
2009-10-01,42.12
2009-09-01,83.3
2009-08-01,92.95
2009-07-01,101.87
2009-06-01,123.32
2009-05-01,123.73
2009-04-01,119.85
2009-03-01,110.37
2009-02-01,84.46
2009-01-01,70.91
2008-12-01,58.98
2008-11-01,34.99
2008-10-01,27.22
2008-09-01,26.48
2008-08-01,26.83
2008-07-01,25.37
2008-06-01,26.11
2008-05-01,25.81
2008-04-01,23.88
2008-03-01,21.81
2008-02-01,21.74
2008-01-01,21.46
2007-12-01,22.35
2007-11-01,20.81
2007-10-01,20.68
2007-09-01,19.05
2007-08-01,18.02
2007-07-01,18.36
2007-06-01,17.83
2007-05-01,17.92
2007-04-01,17.48
2007-03-01,16.92
2007-02-01,17.49
2007-01-01,17.36
2006-12-01,17.38
2006-11-01,17.24
2006-10-01,17.14
2006-09-01,16.77
2006-08-01,16.67
2006-07-01,16.61
2006-06-01,16.82
2006-05-01,17.46
2006-04-01,17.77
2006-03-01,17.8
2006-02-01,17.8
2006-01-01,18.07
2005-12-01,18.07
2005-11-01,18.01
2005-10-01,17.64
2005-09-01,18.44
2005-08-01,18.72
2005-07-01,19.0
2005-06-01,19.0
2005-05-01,18.93
2005-04-01,19.02
2005-03-01,19.84
2005-02-01,20.11
2005-01-01,19.99
2004-12-01,20.48
2004-11-01,20.05
2004-10-01,19.25
2004-09-01,19.35
2004-08-01,19.03
2004-07-01,19.51
2004-06-01,20.17
2004-05-01,20.14
2004-04-01,21.23
2004-03-01,21.61
2004-02-01,22.46
2004-01-01,22.73
2003-12-01,22.17
2003-11-01,23.15
2003-10-01,24.75
2003-09-01,26.42
2003-08-01,26.57
2003-07-01,27.65
2003-06-01,28.6
2003-05-01,28.24
2003-04-01,28.05
2003-03-01,27.92
2003-02-01,28.46
2003-01-01,31.43
2002-12-01,32.59
2002-11-01,32.03
2002-10-01,29.24
2002-09-01,28.89
2002-08-01,31.53
2002-07-01,32.46
2002-06-01,37.92
2002-05-01,41.41
2002-04-01,43.81
2002-03-01,46.71
2002-02-01,44.57
2002-01-01,46.17
2001-12-01,46.37
2001-11-01,43.62
2001-10-01,39.72
2001-09-01,36.9
2001-08-01,37.85
2001-07-01,35.46
2001-06-01,33.67
2001-05-01,32.02
2001-04-01,27.96
2001-03-01,26.1
2001-02-01,27.81
2001-01-01,27.55
2000-12-01,26.62
2000-11-01,26.9
2000-10-01,26.5
2000-09-01,27.34
2000-08-01,27.97
2000-07-01,28.05
2000-06-01,28.16
2000-05-01,27.49
2000-04-01,28.5
2000-03-01,28.31
2000-02-01,27.76
2000-01-01,29.04
1999-12-01,29.66
1999-11-01,29.74
1999-10-01,28.66
1999-09-01,29.99
1999-08-01,30.89
1999-07-01,32.88
1999-06-01,32.24
1999-05-01,33.19
1999-04-01,34.0
1999-03-01,33.39
1999-02-01,32.67
1999-01-01,32.92
1998-12-01,31.56
1998-11-01,30.25
1998-10-01,27.2
1998-09-01,26.8
1998-08-01,28.0
1998-07-01,29.9
1998-06-01,28.44
1998-05-01,28.3
1998-04-01,28.26
1998-03-01,27.23
1998-02-01,25.85
1998-01-01,24.29
1997-12-01,24.23
1997-11-01,23.46
1997-10-01,23.58
1997-09-01,23.06
1997-08-01,22.83
1997-07-01,22.8
1997-06-01,21.61
1997-05-01,20.6
1997-04-01,18.94
1997-03-01,19.69
1997-02-01,20.09
1997-01-01,19.53
1996-12-01,19.19
1996-11-01,19.45
1996-10-01,19.0
1996-09-01,18.75
1996-08-01,18.6
1996-07-01,18.26
1996-06-01,19.15
1996-05-01,19.1
1996-04-01,18.85
1996-03-01,19.01
1996-02-01,19.1
1996-01-01,18.08
1995-12-01,18.1
1995-11-01,17.33
1995-10-01,16.76
1995-09-01,16.45
1995-08-01,16.01
1995-07-01,16.07
1995-06-01,15.67
1995-05-01,15.5
1995-04-01,15.31
1995-03-01,15.15
1995-02-01,15.11
1995-01-01,14.89
1994-12-01,14.88
1994-11-01,15.62
1994-10-01,16.32
1994-09-01,17.09
1994-08-01,17.44
1994-07-01,17.42
1994-06-01,18.05
1994-05-01,18.5
1994-04-01,19.0
1994-03-01,20.42
1994-02-01,21.02
1994-01-01,21.34
1993-12-01,21.29
1993-11-01,21.63
1993-10-01,22.19
1993-09-01,22.5
1993-08-01,22.65
1993-07-01,22.72
1993-06-01,23.18
1993-05-01,22.83
1993-04-01,22.53
1993-03-01,22.69
1993-02-01,22.55
1993-01-01,22.5
1992-12-01,22.82
1992-11-01,22.56
1992-10-01,22.43
1992-09-01,23.2
1992-08-01,23.6
1992-07-01,23.88
1992-06-01,23.95
1992-05-01,24.75
1992-04-01,24.73
1992-03-01,25.16
1992-02-01,25.6
1992-01-01,25.93
1991-12-01,24.33
1991-11-01,23.27
1991-10-01,22.49
1991-09-01,21.73
1991-08-01,21.22
1991-07-01,20.14
1991-06-01,19.49
1991-05-01,18.98
1991-04-01,18.58
1991-03-01,17.78
1991-02-01,17.19
1991-01-01,15.35
1990-12-01,15.41
1990-11-01,14.68
1990-10-01,14.21
1990-09-01,14.51
1990-08-01,15.33
1990-07-01,16.81
1990-06-01,16.95
1990-05-01,16.37
1990-04-01,15.7
1990-03-01,15.62
1990-02-01,14.97
1990-01-01,15.13
1989-12-01,15.24
