Date,Close,scaled,"k1=0.9, k2=0.65, k3=0.7",invested,uninvested,Stocks,"k1=0.85, k2=0.6, k3=0.5",invested,uninvested,Stocks
8/17/2015,2102.439941,0.379858469,,,,,,,,
8/18/2015,2096.919922,0.391843538,,,,,,,,
8/19/2015,2079.610107,0.502045245,,,,,,,,
8/20/2015,2035.72998,0.690282973,,"100,000",0,,,"100,000",0,
8/21/2015,1970.890015,1,"Buy 70,000 (+35.52 Stocks)","30,000","70,000",35.52,"Buy 50,000 (+25.36 Stocks)","50,000","50,000",25.36
8/24/2015,1893.209961,1,"Buy 21,000 (+11.09 Stocks)","9,000","91,000",46.61,"Buy 25,000 (+13.21 Stocks)","25,000","75,000",38.57
8/25/2015,1867.609985,1,"Buy 6,300 (+3.37 Stocks)","2,700","97,300",49.98,"Buy 12,500 (+6.69 Stocks)","12,500","87,500",45.27
8/26/2015,1940.51001,1,"Buy 1,890 (+0.97 Stocks)",810,"99,190",50.96,"Buy 6,250 (+3.22 Stocks)","6,250","93,750",48.49
8/27/2015,1987.660034,1,Buy 567 (+0.29 Stocks),243,"99,757",51.24,"Buy 3,125 (+1.57 Stocks)","3,125","96,875",50.06
8/28/2015,1988.869995,0.829279827,,,,,,,,
8/31/2015,1972.180054,0.848891757,,,,,,,,
9/1/2015,1913.849976,1,,,,,"Buy 1,562.5 (+0.82 Stocks)","1,562.50","98,437.50",50.88
9/2/2015,1948.859985,1,,,,,Buy 781.25 (+0.4 Stocks),"7,81.25","99,218.75",51.28
9/3/2015,1951.130005,0.950947818,,,,,Buy 371.46 (+0.19 Stocks),409.78,"99,590.21",51.47
9/4/2015,1921.219971,0.960579123,,,,,Buy 196.81 (+0.1 Stocks),212.97,"99,787.02",51.57
9/8/2015,1969.410034,0.911222847,,,,,Buy 97.03 (+0.05 Stocks),115.93,"99,884.06",51.62
9/9/2015,1942.040039,0.895871396,,,,,,,,
9/10/2015,1952.290039,0.877438427,,,,,,,,
9/11/2015,1961.050049,0.845733305,,,,,,,,
9/14/2015,1953.030029,0.813342015,,,,,,,,
9/15/2015,1978.089966,0.786745725,,,,,,,,
9/16/2015,1995.310059,0.700119088,,,,,,,,
9/17/2015,1990.199951,0.782091219,,,,,,,,
9/18/2015,1958.030029,1,,,,,,,,
9/21/2015,1966.969971,0.854536009,,,,,,,,
9/22/2015,1942.73999,1,,,,,,,,
9/23/2015,1938.76001,0.969649017,,,,,,,,
9/24/2015,1932.23999,1,,,,,,,,
9/25/2015,1931.339966,1,,,,,,,,
9/28/2015,1881.77002,1,,,,,,,,
9/29/2015,1884.089966,1,,,,,,,,
9/30/2015,1920.030029,1,,,,,,,,
10/1/2015,1923.819946,0.88423357,,,,,,,,
10/2/2015,1951.359985,0.94203803,,,,,,,,
10/5/2015,1987.050049,0.78270773,,,,,,,,
10/6/2015,1979.920044,0.730801197,,,,,,,,
10/7/2015,1995.829956,0.79087313,,,,,,,,
10/8/2015,2013.430054,0.61976777,"Sell 13.21 Stocks (+26,605)","26,848","73,152",38.03,,,,
10/9/2015,2014.890015,0.564447031,"Sell 11.08 Stocks (+22,325)","49,173","50,827",26.95,"Sell 10.91 Stocks (+21,974)",22089.93847,77910.06153,40.71396749
10/12/2015,2017.459961,0.408569404,"Sell 10.58 Stocks (+21,347)","70,520","29,480",16.37,"Sell 11.58 Stocks (+23,373)",45462.93847,54537.06153,29.12860746
